type,id,lat,lon,brand,shop,city,street,housenumber,postcode
node,5425441459,47.3619353,8.0459734,Denner,supermarket,Unterentfelden,Binzmattweg,8,5035
node,5428703277,46.4312458,6.9097952,Denner,supermarket,Montreux,Place du Marché,6b,1820
node,5435055314,47.0485838,8.306677,Coop,supermarket,Luzern,Hirschmattstrasse,15,6003
node,5472353071,46.3783156,8.0333818,Coop,supermarket,Riederalp,Bahnhofstrasse,11,3987
node,5483492229,47.1284712,9.055919,Migros,supermarket,Niederurnen,Ziegelbrückstrasse,21,8867
node,5491534334,46.2921649,7.5302277,Denner,supermarket,Sierre/Siders,Avenue Général-Guisan,15,3960
node,5499252489,47.6332852,9.2258897,Volg,supermarket,Scherzingen,Seestrasse,36,8596
node,5507213482,47.3661864,8.7825528,Denner,supermarket,Pfäffikon ZH,Seestrasse,27,8330
node,5513256743,47.1964113,8.7226229,Denner,supermarket,Wollerau,Wächlenstrasse,1,8832
node,5528673127,47.1263165,7.2463632,Migros,supermarket,Nidau,Lyssstrasse,15,2560
node,5531520439,47.4312051,9.6381797,Migros,supermarket,Au SG,Nollenhornstrasse,7,9434
node,5531520440,47.4310037,9.6381475,Denner,supermarket,Au SG,Nollenhornstrasse,7,9434
node,5540135357,47.2783897,7.9287275,VOI Migros Partner,supermarket,Strengelbach,Langenthalerstrasse,1,4802
node,5540176969,47.2796482,7.9270368,Coop,supermarket,Strengelbach,Streumattweg,2,4802
node,5540191029,47.278137,7.951807,Volg,supermarket,Zofingen,Luzernerstrasse,58,4800
node,5553197257,46.5274617,6.6015707,Denner,supermarket,Prilly,Chemin du Viaduc,1,1008
node,5580617894,47.1971269,8.4848331,Migros,supermarket,Steinhausen,Bahnhofstrasse,2,6312
node,5602979356,47.0550399,8.3435784,Migros,supermarket,Luzern,Würzenbachstrasse,19,6006
node,5655953831,47.2762187,7.366099,Lidl,supermarket,Moutier,Rue Industrielle,18,2740
node,5682293068,47.2293029,8.847136,Lidl,supermarket,Jona,Feldlistrasse,5,8645
node,5707236223,47.3369497,7.2459096,Denner,supermarket,Bassecourt,Rue de l’Abbé Monnin,20,2854
node,5718170409,47.556004,7.5734503,Migros,supermarket,Basel,Allschwilerstrasse,31,4055
node,5762808948,47.0206359,8.6567979,Denner,supermarket,Schwyz,Sonnenplätzli,1,6431
node,5767577390,47.5347922,7.6415287,Coop,supermarket,Muttenz,Hofackerstrasse,30,4132
node,5778787953,47.4400041,7.53919,Lidl,supermarket,Zwingen,Baselstrasse,43b,4242
node,5791885768,47.3184585,8.5819748,Migros,supermarket,Küsnacht,Zürichstrasse,149,8700
node,5869402307,46.774599,9.2076589,Migros,supermarket,Ilanz,Poststrasse,4,7130
node,5876693156,46.7751282,9.1927694,Coop,supermarket,Ilanz/Glion,Via Crappa Grossa,24,7130
node,5883873506,46.8685774,8.239664,Denner,supermarket,Sachseln,Dorfplatz,5,6072
node,5887023529,47.320722,7.9069631,VOI Migros Partner,supermarket,Aarburg,Bahnhofstrasse,59,4663
node,5906141564,47.299368,9.0878696,Migros,supermarket,Wattwil,Bahnhofstrasse,19,9630
node,5965781853,47.6512181,8.8529556,Migros,supermarket,Stein am Rhein,Kaltenbacherstrasse,41,8260
node,6011935004,47.4128725,8.5470117,Coop,supermarket,Zürich,Andreasstrasse,5,8050
node,6016261985,47.3919927,8.0533673,Migros,supermarket,Aarau,Bahnhofplatz,3h,5000
node,6018965087,47.1370697,8.1323609,Coop,supermarket,Nottwil,Kantonsstrasse,21,6207
node,6045713919,47.2376859,8.0743886,Coop,supermarket,Triengen,Kantonsstrasse,75,6234
node,6088196574,47.0490676,8.2623963,Migros,supermarket,Luzern,Luzernerstrasse,143,6014
node,6103925139,47.2729265,8.4472941,ALDI,supermarket,Affoltern am Albis,Industriestrasse,5,8910
node,6103932220,47.2780694,8.4527581,Lidl,supermarket,Affoltern am Albis,Centralweg,3,8910
node,6122906632,47.1589589,9.0444769,Denner,supermarket,Schänis,Oberdorf,14,8718
node,6150424975,47.2230948,8.250286,ALDI,supermarket,Ermensee,Luzernerstrasse,28,6294
node,6212993943,47.3242002,8.4686424,Coop,supermarket,Bonstetten,Im Heumoos,25,8906
node,6218415208,46.8995337,7.0496124,Spar,supermarket,Avenches,Route de Salavaux,2,1580
node,6238261157,47.4132639,8.2668592,Migros,supermarket,Mellingen,Lenzburgerstrasse,50,5507
node,6247258053,47.1054416,8.3434618,Landi,supermarket,Buchrain,Schiltwaldstrasse,2,6033
node,6255713897,46.8119875,9.3976796,Volg,supermarket,Bonaduz,Versamerstrasse,15,7402
node,6271321287,46.7001714,8.8421509,Coop,supermarket,Disentis/Mustér,Via Acletta,1,7180
node,6325952109,46.4760185,7.2830571,Landi,supermarket,Gstaad,Güterstrasse,10,3780
node,6329023707,47.446636,7.6959082,Volg,supermarket,Lupsingen,Liestalerstrasse,24a,4419
node,6340161787,46.2235606,7.2955421,Coop,supermarket,Conthey,Rue de la Madeleine,2,1964
